Country,ISO-3,Name in Original Language,Name in English Language,Acronym,Establishment Year,Official Mandate,Levels of Ownership,Size Category,Financial Year,Total Assets(Million USD),Total Equity(Million USD),Total Liabilities(Million USD),Website Link,Products Link
Brazil,BRA,Agência de Fomento do Estado do Amazonas,Amazonas State Development Agency S / A,AFEAM,1999,MSME,SUBNATIONAL,Micro,2022,65,,,http://www.afeam.am.gov.br/,
Brazil,BRA,Agência de Fomento do Estado de Goiás - GoiásFomento,Goia?s Development Agency ,Goiás Fomento ,2000,MSME,SUBNATIONAL,Micro,2022,50,37,13,https://www.goiasfomento.com/,https://www.goiasfomento.com/acesso-a-informacao/demonstracoes-contabeis/
Brazil,BRA,Agência de Fomento do Estado de Mato Grosso S/A,Mato Grosso State Development Agency S / A,Desenvolve MT,2003,MSME,SUBNATIONAL,Micro,2022,28,25,3,https://www.desenvolve.mt.gov.br/,
Brazil,BRA,Agência de Fomento e Desenvolvimento do Estado do Piauí S.A.,Agency for the Promotion and Development of the State of Piauí S.A.,Piauí Fomento,2010,MSME,SUBNATIONAL,Micro,2022,15,7,8,https://portal.pi.gov.br/fomento/,
Brazil,BRA,Desenvolve - Agência de Fomento de Alagoas,Develops - Alagoas Development Agency,Desenvolve,2004,MSME,SUBNATIONAL,Small,2022,18,11,7,https://www.desenvolve-al.com.br/,https://www.desenvolve-al.com.br/transparencia/demonstracoes-financeiras/
Brazil,BRA,Agência de Fomento do Rio Grande do Norte,Agência de Fomento do Rio Grande do Norte,AGN,1999,MSME,SUBNATIONAL,Micro,2022,,,,http://www.agn.rn.gov.br/,
Brazil,BRA,Agência de Empreendedorismo de Pernambuco S/A,Pernambuco Entrepreneurship Agency,AGE,2011,MSME,SUBNATIONAL,Micro,2022,14,13,1,http://www.age.pe.gov.br/,
Brazil,BRA,Agência de Fomento do Estado do Tocantins S/A,Agência de Fomento do Estado do Tocantins S/A,Fomento TO,2005,MSME,SUBNATIONAL,Micro,2022,8,6,2,http://www.fomento.to.gov.br/,https://www.fomento.to.gov.br/page/balancetes-demonstrativos-contabeis-e-financeiros
Brazil,BRA,Agência de Fomento do Amapá,Amapá Development Agency,AFAP,1997,MSME,SUBNATIONAL,Micro,2022,,,,https://www.afap.ap.gov.br/,
Brazil,BRA,Desenvolve Roraima,Roraima Development Agency,DesenvolveRr,1999,MSME,SUBNATIONAL,Small,2022,,,,https://desenvolverr.com.br/,https://desenvolverr.com.br/transparencia/
Curaçao,CUW,Corporación para el Desarrollo de Curaçao,Sustainable Development Corporation of Curaçao,KORPODEKO,1985,MSME,SUBNATIONAL,Small,2022,,,,https://korpodeko.cw/,https://korpodeko.cw/kip/
Trinidad and Tobago,TTO,Agricultural Development Bank of Trinidad and Tobago,Agricultural Development Bank of Trinidad and Tobago,ADB,1968,AGRI,NATIONAL,NI,2022,,,,https://www.adbtt.com/,https://www.adbtt.com/product-loans-overview/
Saint Lucia,LCA,Saint Lucia Development Bank,Saint Lucia Development Bank,SLDB,2008,MSME,NATIONAL,Micro,2022,,,,https://www.sldb.lc/description-of-business/,https://www.sldb.lc/category/lending
El Salvador,SLV,Banco de Desarrollo de El Salvador,Development Bank of El Salvador,BANDESAL,1994,FLEX,NATIONAL,Small,2022,705,280,426,https://www.bandesal.gob.sv/,
El Salvador,SLV,Banco de Fomento Agropecuario,Agricultural Development Bank,BFA,1973,AGRI,NATIONAL,Small,2022,462,,,https://www.bfa.gob.sv/,https://www.bfa.gob.sv/guia-de-programas/ 
El Salvador,SLV,Fondo Nacional de Vivienda Popular,National Fund for Popular Housing,FONAVIPO,2002,HOUS,NATIONAL,Micro,2022,71,,,https://www.fonavipo.gob.sv/category/institucion/gobierno-corporativo/,https://www.fonavipo.gob.sv/guia-de-programas/
Argentina,ARG,Banco de Inversión y Comercio Exterior,Investment and Foreign Trade Bank,BICE,1991,FLEX,NATIONAL,Small,2022,1179,359,820,https://www.bice.com.ar/,https://www.bice.com.ar/institucional/el-banco/nuestra-mision/
Argentina,ARG,Fondo de Garantías de Buenos Aires,Buenos Aires Guarantee Fund,FOGABA,1994,MSME,SUBNATIONAL,Micro,2022,,,,http://www.fogaba.com.ar/,
Mexico,MEX,Instituto del Fondo Nacional de la Vivienda para los Trabajadores,Infonavit Mexico,INFONAVIT,1972,HOUS,NATIONAL,Large,2022,104868,13198,91669,https://portalmx.infonavit.org.mx/wps/portal/infonavitmx/mx2/derechohabientes/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8zizdwNDDycTQz9LMIsHA0C_Sz9jLzNjI28HM31wwkpiAJKG-AAjgZA_VFgJThNMIMqsLR0MTH0tjAwCjD0MzAIDAs0dPF0MTcwNTCBKsBjSUFuhEGmp6MiAOMcTcA!/dz/d5/L2dBISEvZ0FBIS9nQSEh/,
Mexico,MEX,Banco Nacional de Obras y Servicios Públicos,National Bank of Public Works and Services,BANOBRAS,1933,LOCAL,NATIONAL,Small,2022,52598,4326,48272,https://www.gob.mx/banobras/,https://www.gob.mx/banobras/en#8908
Mexico,MEX,Nacional Financiera,Nacional Financiera,NAFIN,1934,MSME,NATIONAL,Medium,2022,27669,1812,25856,https://www.nafin.com/portalnf/content/home/home.html,https://www.nafin.com/portalnf/content/financiamiento/
Mexico,MEX,Banco Nacional de Comercio Exterior,National Foreign Trade Bank,BANCOMEXT,1937,EXIM,NATIONAL,Small,2022,23136,1762,21373,https://www.bancomext.com/,https://www.bancomext.com/en/products-and-services/credit/
Mexico,MEX,Fideicomisos Instituidos en Relación con la Agricultura,FIRA Mexico,FIRA,1954,AGRI,NATIONAL,Micro,2022,,,,https://www.gob.mx/fira,
Mexico,MEX,Sociedad Hipotecaria Federal,Federal Mortgage Society,SHF,2001,HOUS,NATIONAL,Micro,2022,7324,1524,5800,https://www.gob.mx/shf/,
Mexico,MEX,Banco del Bienestar,Bank of Wellbeing,BANSEFI,2002,MSME,NATIONAL,Small,2022,6410,919,5491,https://www.gob.mx/bancodelbienestar,
Mexico,MEX,"Financiera Nacional de Desarrollo Agropecuario, Rural, Forestal y Pesquero","National Financial for Agricultural, Rural, Forestry and Fisheries Development",FND,2002,AGRI,NATIONAL,Micro,2022,,,,https://www.gob.mx/fnd,
Mexico,MEX,Fondo de Capitalización e Inversión del Sector Rural,Capitalization and Development Fund for the Rural Sector ,FOCIR,1994,AGRI,NATIONAL,Micro,2022,,,,http://www.focir.gob.mx/ingles/default.aspx,
Colombia,COL,Fondo para el Financiamiento del Sector Agropecuario,Fund for the Financing of the Agricultural Sector,FINAGRO,1990,AGRI,NATIONAL,Micro,2022,3542,228,3315,https://www.finagro.com.co/,https://www.finagro.com.co/estadisticas
Colombia,COL,Financiera de Desarrollo Territorial,Territorial Development Finance of Columbia,FINDETER,1989,LOCAL,NATIONAL,Micro,2022,2716,286,2430,https://www.findeter.gov.co/,
Colombia,COL,Banco Colombiano de Commercio Exterior,Colombian Bank of Foreign Trade,BANCOLDEX,1991,MSME,NATIONAL,Small,2022,2608,313,2295,https://www.bancoldex.com/english,https://www.bancoldex.com/es/soluciones-financieras/lineas-de-credito-empresas-colombia
Colombia,COL,Financiera del Desarrollo National,National Development Finance,FDN,2011,INFRA,NATIONAL,Micro,2022,1566,412,1153,https://www.fdn.com.co/,
Colombia,COL,Instituto para el Desarrollo de Antioquia,Institute for the Development of Antioquia,IDEA,1964,MSME,SUBNATIONAL,Large,2022,594,126,467,https://www.idea.gov.co/,https://www.idea.gov.co/financiacion/
Ecuador,ECU,Corporación Financiera Nacional,National Finance Corporation,CFN,1964,MSME,NATIONAL,Small,2022,3213,,,https://www.cfn.fin.ec/,
Ecuador,ECU,Banco de Desarrollo del Ecuador B.P.,Development Bank of Ecuador B.P.,BDE,2015,FLEX,NATIONAL,Small,2022,2123,,,https://bde.fin.ec/,https://consulta.bde.fin.ec/Dashboardmvc/Aprobacion/Aprobacion
Ecuador,ECU,Corporacion Nacional de Finanzas Populares y Solidarias,National Corporation for Popular and Solidarity Finance,CONAFIPS,2008,MSME,NATIONAL,Small,2022,637,275,362,https://www.finanzaspopulares.gob.ec/,https://www.finanzaspopulares.gob.ec/garantias/
Uruguay,URY,Banco Hipotecario del Uruguay,Mortgage Bank of Uruguay,BHU,1892,HOUS,NATIONAL,Small,2022,2147,1022,1126,https://www.bhu.net/,
Uruguay,URY,Agencia Nacional de Desarrollo,National Development Agency,ANDE,2016,MSME,NATIONAL,Micro,2022,24,-14,38,https://www.ande.org.uy/,https://www.ande.org.uy/financiamiento.html
Guatemala,GTM,Crédito Hipotecario Nacional,National Mortgage Credit,BANCOCHN,1929,HOUS,NATIONAL,Small,2022,753,78,675,https://www.chn.com.gt/,https://www.chn.com.gt/miprimeracasa/
Dominican Republic,DOM,Banco Agrícola de la República Dominicana,Agricultural Bank of the Dominican Republic,BAGRICOLA,1945,AGRI,NATIONAL,Small,2022,703,276,427,https://bancoagricola.gob.do/,https://bancoagricola.gob.do/productos/
Dominican Republic,DOM,Banco Nacional de las Exportaciones,National Export Bank,BANDEX,1962,EXIM,NATIONAL,Small,2022,248,83,165,https://www.bandex.com.do/,https://www.bandex.com.do/nuestros-productos/
Honduras,HND,Banco Hondureño para la producción y la Vivienda,Honduran Bank for production and Housing,BANHPROVI,2005,FLEX,NATIONAL,Small,2022,,,,https://banhprovi.gob.hn/BANHPROVI/inicio.html,
Honduras,HND,Banco Nacional de Desarrollo Agrícola,National Bank for Agricultural Development,BANADESA,1950,AGRI,NATIONAL,Small,2022,,,,https://banadesa.hn/,
Jamaica,JAM,Development Bank of Jamaica,Development Bank of Jamaica,DBJ,2000,FLEX,NATIONAL,Micro,2022,,,,https://dbankjm.com/,Development Bank of Jamaica
Jamaica,JAM,National Import – Export Bank of Jamaica,National Import – Export Bank of Jamaica,EXIM Bank Jamaica,1986,EXIM,NATIONAL,Micro,2022,,,,https://www.tradefinanceglobal.com/export-finance/export-credit-agencies-eca/national-export-import-bank-of-jamaica-jamaica-eca/,National Import – Export Bank of Jamaica
Belize,BLZ,Development Finance Corporation,Development Finance Corporation,DFC,1963,FLEX,NATIONAL,Micro,2022,72,27,45,https://www.dfcbelize.org/,https://www.dfcbelize.org/loans/sectors-dfc-finances/
Belize,BLZ,Belize Marketing and Development Corporation,Belize Marketing and Development Corporation,MBDC,2003,AGRI,NATIONAL,NI,2022,,,,http://bmdc.bz/,
Grenada,GRD,Grenada Development Bank,Grenada Development Bank,GDB,1965,FLEX,NATIONAL,Micro,2022,,,,https://grenadadevelopmentbank.com/background.html,https://grenadadevelopmentbank.com/assets/files/2021-GDBAnnualReport.pdf
Venezuela,VEN,Banco de Comercio Exterior,Foreign Trade Bank,BANCOEX,1996,EXIM,NATIONAL,Small,2022,16,7,8,http://bancoex.gob.ve/,
Venezuela,VEN,Banco de Desarrollo Económico y Social de Venezuela,Bank of Economic and Social Development of Venezuela,BANDES,2001,FLEX,NATIONAL,Small,2022,,,,http://www.bandes.gov.ve/,
Costa Rica,CRI,Fundecooperación para el Desarrollo Sostenible,Foundation for Sustainable Development,Fundecooperación,1994,MSME,NATIONAL,Small,2022,10,,,https://fundecooperacion.org/en/,https://fundecooperacion.org/conozca-los-proyectos-2/
Antigua and Barbuda,ATG,Antigua and Barbuda Development Bank,Antigua and Barbuda Development Bank,ABDB,1971,FLEX,NATIONAL,NI,2022,,,,https://www.abdbank.com/overview.html,https://www.abdbank.com/projects.html
Saint Kitts and Nevis,KNA,Development Bank of St. Kitts and Nevis,Development Bank of St. Kitts and Nevis,DBSK-N,1981,FLEX,NATIONAL,NI,2022,,,,https://skndb.com/?ref=footer,https://skndb.com/investment/
Paraguay,PRY,Banco Nacional de Fomento,National Development Bank,BNF,1961,FLEX,NATIONAL,Small,2021,2617,377,2240,https://www.bnf.gov.py/bnf/web/#/,https://www.bnf.gov.py/bnf/web/#/prestamo
Paraguay,PRY,Agencia Financiera de Desarrollo,Development Finance Agency,AFD,2005,FLEX,NATIONAL,Micro,2021,1063,262,801,https://www.afd.gov.py/,https://www.afd.gov.py/productos
Paraguay,PRY,Fondo Ganadero,Livestock Fund,FG,1969,AGRI,NATIONAL,Micro,2021,,,,http://www.fondogan.gov.py/index.php,
Paraguay,PRY,Crédito Agrícola de Habilitación,Agricultural Enabling Credit,CAH,1951,AGRI,NATIONAL,Small,2021,,,,https://www.cah.gov.py/,https://www.cah.gov.py/productos
Peru,PER,Fondo Mivivienda,Mivivienda Fund,FMV,1999,HOUS,NATIONAL,Micro,2021,2765,871,1894,https://www.mivivienda.com.pe/PortalWEB/,https://www.mivivienda.com.pe/PortalWEB/inversionistas/pagina.aspx?idpage=139
Peru,PER,El Banco De Desarrollo Del Perú,The Development Bank of Peru,COFIDE,1971,FLEX,NATIONAL,Small,2021,3141,560,2582,https://www.cofide.com.pe/,https://drive.google.com/file/d/1o-8GDsIiy1HPvprGlz0HQKOuQyH3oeJI/view?usp=sharing
Peru,PER,Banco Agropecuario,Agricultural Bank,AGROBANCO,2001,AGRI,NATIONAL,Small,2021,88,53,35,http://www.agrobanco.com.pe/,https://www.agrobanco.com.pe/productos-y-servicios/
Bolivia,BOL,Banco de Desarrollo Productivo,Productive Development Bank,BDP,2007,FLEX,NATIONAL,Small,2021,1120,117,1002,https://www.bdp.com.bo/,https://www.bdp.com.bo/creditos-productivos-mi/
Bahamas,BHS,Bahamas Development Bank,Bahamas Development Bank,BDB,1974,MSME,NATIONAL,Micro,2021,31,-16,47,http://www.bahamasdevelopmentbank.com/,https://bahamasdevelopmentbank.com/about-us/impact/
Nicaragua,NIC,Banco de Fomento a la Producción,Production Development Bank,BFP,2007,FLEX,NATIONAL,Small,2021,190,149,41,http://www.bfp.com.ni/,https://www.bfp.com.ni/bfp-hogar/
Suriname,SUR,Nationale Ontwikkelingsbank van Suriname N.V.,National Development Bank of Suriname N.V.,NOB,1963,FLEX,NATIONAL,Micro,2021,,,,https://www.nobsuriname.com/en/,https://www.nob.sr/
Brazil,BRA,Banco Nacional de Desenvolvimento Econômico e Social,The Brazilian Development Bank,BNDES,1952,FLEX,NATIONAL,Small,2021,134035,28437,105598,https://www.bndes.gov.br/wps/portal/site/home,https://projectshub.bndes.gov.br/en/projetos/nossos-projetos
Brazil,BRA,Banco do Nordeste do Brasil,Bank of Northeast Brazil,BNB,1952,MSME,NATIONAL,Small,2021,10823,1342,9481,https://www.bnb.gov.br/,https://www.bnb.gov.br/web/guest/prodeter/plano-de-acao-territorial?p_l_back_url=%2Fbusca%3Fq%3DProgramas%2Bde%2BDesenvolvimento%2BTerritorial
Brazil,BRA,Banco Regional de Desenvolvimento do Extremo Sul,Far South Regional Development Bank,BRDE,1961,FLEX,SUBNATIONAL,Small,2021,3094,617,2476,https://www.brde.com.br/,
Brazil,BRA,Banco do Estado do Pará S.A. – Banpará,Bank of the State of Pará,Banpará,1959,FLEX,SUBNATIONAL,Small,2021,2247,294,1953,https://www.banpara.b.br/,https://www.banpara.b.br/investimentos/fundos-de-investimento/
