Region,Country,ISO-3,Name in Original Language,Name in English Language,Acronym,Establishment Year,Official Mandate,Levels of Ownership,Financial Year,Total Assets(Million USD),Total Equity(Million USD),Total Liabilities(Million USD),Website link,Projects link
America,Multi,MB,Inter-American Development Bank,Inter-American Development Bank,IADB,1959,FLEX,MULTI,2022,"148,026",TBR,TBR,https://www.iadb.org/en/who-we-are/about-idb,https://www.iadb.org/en/project-search
South America,Multi,MB,Banco de Desarrollo de América Latina,Development Bank of Latin America,CAF,1970,FLEX,MULTI,2022,"50,377",TBR,TBR,https://www.caf.com/pt/quem-somos/,https://www.caf.com/pt/paises/brasil/
World,Multi,MB,New Development Bank,New Development Bank,NDB BRICS,2014,FLEX,MULTI,2022,"26,351",TBR,TBR,https://www.ndb.int/about-ndb/,https://www.ndb.int/projects/all-projects/?country=brazil&key_area_focus=&project_status=&type_category=&pyearval=#paginated-list
Central America,Multi,MB,Banco Centroamericano de Integración Económica,Central American Bank for Economic Integration,CABEI,1960,FLEX,MULTI,2022,"14,802",TBR,TBR,https://60aniversario.bcie.org/#c3013,https://adquisiciones.bcie.org/planes-de-adquisiciones
World,Multi,MB,International Fund for Agricultural Development,International Fund for Agricultural Development,IFAD,1977,AGRI,MULTI,2022,"11,206",TBR,TBR,https://www.ifad.org/en/our-vision,https://www.ifad.org/en/web/new-ifad.org/w/countries/brazil
America,Multi,MB,IDB Invest,IDB Invest,IDBInvest,1986,INTL,MULTI,2022,"9,401",TBR,TBR,https://idbinvest.org/en/about-us,https://idbinvest.org/en/projects
South America,Multi,MB,Banco Latinoamericano de Comercio Exterior,Latin American Bank for Foreign Trade,BLADEX,1979,EXIM,MULTI,2022,"9,284",TBR,TBR,https://bladex.com/en,https://bladex.com/sites/default/files/2025-05/Unaudited%20condensed%20consolidated%20interim%20financial%20statements%20as%20of%20Mar%2031%2C%202025_1.pdf
South America,Multi,MB,Fondo Financiero para el Desarrollo de la Cuenca del Plata,Financial Fund for the Development of the Plata Basin,FONPLATA,1974,INTL,MULTI,2022,"2,337",TBR,TBR,https://www.fonplata.org/en/institutional/mission-and-vision,https://www.fonplata.org/en/institutional/annual-reports
Caribbean,Multi,MB,Caribbean Development Bank,Caribbean Development Bank,CDB,1969,FLEX,MULTI,2022,"2,066",TBR,TBR,https://www.caribank.org/,https://www.caribank.org/
Caribbean,Multi,MB,Eastern Caribbean Partial Credit Guarantee Corporation,Eastern Caribbean Partial Credit Guarantee Corporation,ECPCGC,2017,MSME,MULTI,2022,TBR,TBR,TBR,https://www.eccb-centralbank.org/roles-and-functions,https://www.eccb-centralbank.org/statistics
